strategy,dataset,patience,size_scale,threshold,accuracy,f1_macro,n_trees
pw,Sonar,5,15,0.002,0.7619047619047619,0.7475961538461539,45
pw,Sonar,5,15,0.005,0.7619047619047619,0.7475961538461539,45
s4_global_f1_pcd,Vowel,3,5,0.001,0.6784511784511785,0.6774996431085533,40
s4_global_f1_pcd,Vowel,3,5,0.002,0.6784511784511785,0.6774996431085533,40
s4_global_f1_pcd,Vowel,3,5,0.005,0.6784511784511785,0.6774996431085533,40
s4_global_f1_pcd,Vowel,3,10,0.001,0.6430976430976431,0.642583378559585,40
s4_global_f1_pcd,Vowel,3,10,0.002,0.6430976430976431,0.642583378559585,40
s4_global_f1_pcd,Vowel,3,10,0.005,0.6430976430976431,0.642583378559585,40
s4_global_f1_pcd,Vowel,3,15,0.001,0.6582491582491583,0.6598704446635092,45
s4_global_f1_pcd,Vowel,3,15,0.002,0.6582491582491583,0.6598704446635092,45
s4_global_f1_pcd,Vowel,3,15,0.005,0.6582491582491583,0.6598704446635092,45
s4_global_f1_pcd,Vowel,4,5,0.001,0.6784511784511785,0.6774996431085533,40
s4_global_f1_pcd,Vowel,4,5,0.002,0.6784511784511785,0.6774996431085533,40
s4_global_f1_pcd,Vowel,4,5,0.005,0.6784511784511785,0.6774996431085533,40
s4_global_f1_pcd,Vowel,4,10,0.001,0.6430976430976431,0.642583378559585,40
s4_global_f1_pcd,Vowel,4,10,0.002,0.6430976430976431,0.642583378559585,40
s4_global_f1_pcd,Vowel,4,10,0.005,0.6430976430976431,0.642583378559585,40
s4_global_f1_pcd,Vowel,4,15,0.001,0.6582491582491583,0.6598704446635092,45
s4_global_f1_pcd,Vowel,4,15,0.002,0.6582491582491583,0.6598704446635092,45
s4_global_f1_pcd,Vowel,4,15,0.005,0.6582491582491583,0.6598704446635092,45
s4_global_f1_pcd,Vowel,5,5,0.001,0.6784511784511785,0.6774996431085533,40
s4_global_f1_pcd,Vowel,5,5,0.002,0.6784511784511785,0.6774996431085533,40
s4_global_f1_pcd,Vowel,5,5,0.005,0.6784511784511785,0.6774996431085533,40
s4_global_f1_pcd,Vowel,5,10,0.001,0.6430976430976431,0.642583378559585,40
s4_global_f1_pcd,Vowel,5,10,0.002,0.6430976430976431,0.642583378559585,40
s4_global_f1_pcd,Vowel,5,10,0.005,0.6430976430976431,0.642583378559585,40
s4_global_f1_pcd,Vowel,5,15,0.001,0.6582491582491583,0.6598704446635092,45
s4_global_f1_pcd,Vowel,5,15,0.002,0.6582491582491583,0.6598704446635092,45
s4_global_f1_pcd,Vowel,5,15,0.005,0.6582491582491583,0.6598704446635092,45
s7_perclient_f1_pcd,Vowel,3,5,0.001,0.6380471380471381,0.6363068986569255,27
s7_perclient_f1_pcd,Vowel,3,5,0.002,0.6380471380471381,0.6363068986569255,27
s7_perclient_f1_pcd,Vowel,3,5,0.005,0.6380471380471381,0.6363068986569255,27
s7_perclient_f1_pcd,Vowel,3,10,0.001,0.6784511784511785,0.6770504299373021,45
s7_perclient_f1_pcd,Vowel,3,10,0.002,0.6784511784511785,0.6770504299373021,45
s7_perclient_f1_pcd,Vowel,3,10,0.005,0.6784511784511785,0.6770504299373021,45
s7_perclient_f1_pcd,Vowel,3,15,0.001,0.6582491582491583,0.6598704446635092,45
s7_perclient_f1_pcd,Vowel,3,15,0.002,0.6582491582491583,0.6598704446635092,45
s7_perclient_f1_pcd,Vowel,3,15,0.005,0.6582491582491583,0.6598704446635092,45
s7_perclient_f1_pcd,Vowel,4,5,0.001,0.6380471380471381,0.6363068986569255,27
s7_perclient_f1_pcd,Vowel,4,5,0.002,0.6380471380471381,0.6363068986569255,27
s7_perclient_f1_pcd,Vowel,4,5,0.005,0.6380471380471381,0.6363068986569255,27
s7_perclient_f1_pcd,Vowel,4,10,0.001,0.6784511784511785,0.6770504299373021,45
s7_perclient_f1_pcd,Vowel,4,10,0.002,0.6784511784511785,0.6770504299373021,45
s7_perclient_f1_pcd,Vowel,4,10,0.005,0.6784511784511785,0.6770504299373021,45
s7_perclient_f1_pcd,Vowel,4,15,0.001,0.6582491582491583,0.6598704446635092,45
s7_perclient_f1_pcd,Vowel,4,15,0.002,0.6582491582491583,0.6598704446635092,45
s7_perclient_f1_pcd,Vowel,4,15,0.005,0.6582491582491583,0.6598704446635092,45
s7_perclient_f1_pcd,Vowel,5,5,0.001,0.6380471380471381,0.6363068986569255,27
s7_perclient_f1_pcd,Vowel,5,5,0.002,0.6380471380471381,0.6363068986569255,27
s7_perclient_f1_pcd,Vowel,5,5,0.005,0.6380471380471381,0.6363068986569255,27
s7_perclient_f1_pcd,Vowel,5,10,0.001,0.6784511784511785,0.6770504299373021,45
s7_perclient_f1_pcd,Vowel,5,10,0.002,0.6784511784511785,0.6770504299373021,45
s7_perclient_f1_pcd,Vowel,5,10,0.005,0.6784511784511785,0.6770504299373021,45
s7_perclient_f1_pcd,Vowel,5,15,0.001,0.6582491582491583,0.6598704446635092,45
s7_perclient_f1_pcd,Vowel,5,15,0.002,0.6582491582491583,0.6598704446635092,45
s7_perclient_f1_pcd,Vowel,5,15,0.005,0.6582491582491583,0.6598704446635092,45
pw,Vowel,3,5,0.001,0.6717171717171717,0.6677364604522756,9
pw,Vowel,3,5,0.002,0.6717171717171717,0.6677364604522756,9
pw,Vowel,3,5,0.005,0.6717171717171717,0.6677364604522756,9
pw,Vowel,3,10,0.001,0.7474747474747475,0.7469685032303629,27
pw,Vowel,3,10,0.002,0.7474747474747475,0.7469685032303629,27
pw,Vowel,3,10,0.005,0.7474747474747475,0.7469685032303629,27
pw,Vowel,3,15,0.001,0.7777777777777778,0.7791357322416892,45
pw,Vowel,3,15,0.002,0.7777777777777778,0.7791357322416892,45
pw,Vowel,3,15,0.005,0.7777777777777778,0.7791357322416892,45
pw,Vowel,4,5,0.001,0.6717171717171717,0.6677364604522756,9
pw,Vowel,4,5,0.002,0.6717171717171717,0.6677364604522756,9
pw,Vowel,4,5,0.005,0.6717171717171717,0.6677364604522756,9
pw,Vowel,4,10,0.001,0.7474747474747475,0.7469685032303629,27
pw,Vowel,4,10,0.002,0.7474747474747475,0.7469685032303629,27
pw,Vowel,4,10,0.005,0.7474747474747475,0.7469685032303629,27
pw,Vowel,4,15,0.001,0.7777777777777778,0.7791357322416892,45
pw,Vowel,4,15,0.002,0.7777777777777778,0.7791357322416892,45
pw,Vowel,4,15,0.005,0.7777777777777778,0.7791357322416892,45
pw,Vowel,5,5,0.001,0.6717171717171717,0.6677364604522756,9
pw,Vowel,5,5,0.002,0.6717171717171717,0.6677364604522756,9
pw,Vowel,5,5,0.005,0.6717171717171717,0.6677364604522756,9
pw,Vowel,5,10,0.001,0.7474747474747475,0.7469685032303629,27
pw,Vowel,5,10,0.002,0.7474747474747475,0.7469685032303629,27
pw,Vowel,5,10,0.005,0.7474747474747475,0.7469685032303629,27
pw,Vowel,5,15,0.001,0.7777777777777778,0.7791357322416892,45
pw,Vowel,5,15,0.002,0.7777777777777778,0.7791357322416892,45
pw,Vowel,5,15,0.005,0.7777777777777778,0.7791357322416892,45
s4_global_f1_pcd,Spambase,3,5,0.001,0.9232718060079623,0.9189314653431042,40
s4_global_f1_pcd,Spambase,3,5,0.002,0.9232718060079623,0.9189314653431042,40
s4_global_f1_pcd,Spambase,3,5,0.005,0.9232718060079623,0.9189314653431042,40
s4_global_f1_pcd,Spambase,3,10,0.001,0.9200144770177343,0.9158308393929385,40
s4_global_f1_pcd,Spambase,3,10,0.002,0.9200144770177343,0.9158308393929385,40
s4_global_f1_pcd,Spambase,3,10,0.005,0.9200144770177343,0.9158308393929385,40
s4_global_f1_pcd,Spambase,3,15,0.001,0.920376402461093,0.9163438122282241,45
s4_global_f1_pcd,Spambase,3,15,0.002,0.920376402461093,0.9163438122282241,45
s4_global_f1_pcd,Spambase,3,15,0.005,0.920376402461093,0.9163438122282241,45
s4_global_f1_pcd,Spambase,4,5,0.001,0.9232718060079623,0.9189314653431042,40
s4_global_f1_pcd,Spambase,4,5,0.002,0.9232718060079623,0.9189314653431042,40
s4_global_f1_pcd,Spambase,4,5,0.005,0.9232718060079623,0.9189314653431042,40
s4_global_f1_pcd,Spambase,4,10,0.001,0.9200144770177343,0.9158308393929385,40
s4_global_f1_pcd,Spambase,4,10,0.002,0.9200144770177343,0.9158308393929385,40
s4_global_f1_pcd,Spambase,4,10,0.005,0.9200144770177343,0.9158308393929385,40
s4_global_f1_pcd,Spambase,4,15,0.001,0.920376402461093,0.9163438122282241,45
s4_global_f1_pcd,Spambase,4,15,0.002,0.920376402461093,0.9163438122282241,45
s4_global_f1_pcd,Spambase,4,15,0.005,0.920376402461093,0.9163438122282241,45
s4_global_f1_pcd,Spambase,5,5,0.001,0.9232718060079623,0.9189314653431042,40
s4_global_f1_pcd,Spambase,5,5,0.002,0.9232718060079623,0.9189314653431042,40
s4_global_f1_pcd,Spambase,5,5,0.005,0.9232718060079623,0.9189314653431042,40
s4_global_f1_pcd,Spambase,5,10,0.001,0.9200144770177343,0.9158308393929385,40
s4_global_f1_pcd,Spambase,5,10,0.002,0.9200144770177343,0.9158308393929385,40
s4_global_f1_pcd,Spambase,5,10,0.005,0.9200144770177343,0.9158308393929385,40
s4_global_f1_pcd,Spambase,5,15,0.001,0.920376402461093,0.9163438122282241,45
s4_global_f1_pcd,Spambase,5,15,0.002,0.920376402461093,0.9163438122282241,45
s4_global_f1_pcd,Spambase,5,15,0.005,0.920376402461093,0.9163438122282241,45
s7_perclient_f1_pcd,Spambase,3,5,0.001,0.9243575823380383,0.9204027768019171,33
s7_perclient_f1_pcd,Spambase,3,5,0.002,0.923633731451321,0.9196656389001653,27
s7_perclient_f1_pcd,Spambase,3,5,0.005,0.9207383279044516,0.916648677148893,24
s7_perclient_f1_pcd,Spambase,3,10,0.001,0.9243575823380383,0.9200695188618826,45
s7_perclient_f1_pcd,Spambase,3,10,0.002,0.9243575823380383,0.9200695188618826,45
s7_perclient_f1_pcd,Spambase,3,10,0.005,0.9243575823380383,0.9200695188618826,45
s7_perclient_f1_pcd,Spambase,3,15,0.001,0.920376402461093,0.9163438122282241,45
s7_perclient_f1_pcd,Spambase,3,15,0.002,0.920376402461093,0.9163438122282241,45
s7_perclient_f1_pcd,Spambase,3,15,0.005,0.920376402461093,0.9163438122282241,45
s7_perclient_f1_pcd,Spambase,4,5,0.001,0.9243575823380383,0.9204027768019171,33
s7_perclient_f1_pcd,Spambase,4,5,0.002,0.923633731451321,0.9196656389001653,27
s7_perclient_f1_pcd,Spambase,4,5,0.005,0.9207383279044516,0.916648677148893,24
s7_perclient_f1_pcd,Spambase,4,10,0.001,0.9243575823380383,0.9200695188618826,45
