strategy,dataset,config,accuracy,f1_macro,n_trees
s4_global_f1_pcd,Letter,Var C (Episode=15),0.6893333333333334,0.6897897936142253,45
s4_global_f1_pcd,Letter,Var D (Patience=4),0.6790833333333334,0.6806206551488878,30
s5_perclient_accuracy,Letter,Baseline,0.6948333333333334,0.6955113002791657,30
s5_perclient_accuracy,Letter,Var A (Thresh=0.0),0.6948333333333334,0.6955113002791657,30
s5_perclient_accuracy,Letter,Var B (Episode=10),0.6948333333333334,0.6955113002791657,30
s5_perclient_accuracy,Letter,Var C (Episode=15),0.6948333333333334,0.6955113002791657,30
s5_perclient_accuracy,Letter,Var D (Patience=4),0.6948333333333334,0.6955113002791657,30
s6_perclient_f1,Letter,Baseline,0.6839166666666667,0.6845226150366456,21
s6_perclient_f1,Letter,Var A (Thresh=0.0),0.6970833333333334,0.6976721948671886,39
s6_perclient_f1,Letter,Var B (Episode=10),0.6839166666666667,0.6845226150366456,21
s6_perclient_f1,Letter,Var C (Episode=15),0.6839166666666667,0.6845226150366456,21
s6_perclient_f1,Letter,Var D (Patience=4),0.6839166666666667,0.6845226150366456,21
s7_perclient_f1_pcd,Letter,Baseline,0.6883333333333334,0.6894201605780507,27
s7_perclient_f1_pcd,Letter,Var A (Thresh=0.0),0.6883333333333334,0.6894201605780507,27
s7_perclient_f1_pcd,Letter,Var B (Episode=10),0.6883333333333334,0.6894201605780507,27
s7_perclient_f1_pcd,Letter,Var C (Episode=15),0.6883333333333334,0.6894201605780507,27
s7_perclient_f1_pcd,Letter,Var D (Patience=4),0.6883333333333334,0.6894201605780507,27
pw,Letter,Baseline,0.67875,0.6803712958797109,9
pw,Letter,Var A (Thresh=0.0),0.67875,0.6803712958797109,9
pw,Letter,Var D (Patience=4),0.67875,0.6803712958797109,9
s2_global_accuracy,Optdigits,Baseline,0.9581850533807829,0.9582998129899578,40
s2_global_accuracy,Optdigits,Var A (Thresh=0.0),0.9581850533807829,0.9582998129899578,40
s2_global_accuracy,Optdigits,Var B (Episode=10),0.9581850533807829,0.9582998129899578,40
s2_global_accuracy,Optdigits,Var C (Episode=15),0.9584816132858838,0.9586058343550059,45
s2_global_accuracy,Optdigits,Var D (Patience=4),0.9581850533807829,0.9582998129899578,40
