strategy,dataset,patience,size_scale,threshold,accuracy,f1_macro,n_trees
pw,Vowel,3,10,0.005,0.0,0.0,0
pw,Vowel,3,15,0.001,0.0,0.0,0
pw,Vowel,3,15,0.002,0.0,0.0,0
pw,Vowel,3,15,0.005,0.0,0.0,0
pw,Vowel,4,5,0.001,0.0,0.0,0
pw,Vowel,4,5,0.002,0.0,0.0,0
pw,Vowel,4,5,0.005,0.0,0.0,0
pw,Vowel,4,10,0.001,0.0,0.0,0
pw,Vowel,4,10,0.002,0.0,0.0,0
pw,Vowel,4,10,0.005,0.0,0.0,0
pw,Vowel,4,15,0.001,0.0,0.0,0
pw,Vowel,4,15,0.002,0.0,0.0,0
pw,Vowel,4,15,0.005,0.0,0.0,0
pw,Vowel,5,5,0.001,0.0,0.0,0
pw,Vowel,5,5,0.002,0.0,0.0,0
pw,Vowel,5,5,0.005,0.0,0.0,0
pw,Vowel,5,10,0.001,0.0,0.0,0
pw,Vowel,5,10,0.002,0.0,0.0,0
pw,Vowel,5,10,0.005,0.0,0.0,0
pw,Vowel,5,15,0.001,0.0,0.0,0
pw,Vowel,5,15,0.002,0.0,0.0,0
pw,Vowel,5,15,0.005,0.0,0.0,0
s4_global_f1_pcd,Spambase,3,5,0.001,0.9156713716974303,0.911142044182777,40
s4_global_f1_pcd,Spambase,3,5,0.002,0.9156713716974303,0.911142044182777,40
s4_global_f1_pcd,Spambase,3,5,0.005,0.9145855953673543,0.9101594967131582,30
s4_global_f1_pcd,Spambase,3,10,0.001,0.9185667752442996,0.914335706131201,40
s4_global_f1_pcd,Spambase,3,10,0.002,0.9185667752442996,0.914335706131201,40
s4_global_f1_pcd,Spambase,3,10,0.005,0.9185667752442996,0.914335706131201,40
s4_global_f1_pcd,Spambase,3,15,0.001,0.9211002533478103,0.9169299936203986,45
s4_global_f1_pcd,Spambase,3,15,0.002,0.9211002533478103,0.9169299936203986,45
s4_global_f1_pcd,Spambase,3,15,0.005,0.9211002533478103,0.9169299936203986,45
s4_global_f1_pcd,Spambase,4,5,0.001,0.9156713716974303,0.911142044182777,40
s4_global_f1_pcd,Spambase,4,5,0.002,0.9156713716974303,0.911142044182777,40
s4_global_f1_pcd,Spambase,4,5,0.005,0.9145855953673543,0.9101594967131582,30
s4_global_f1_pcd,Spambase,4,10,0.001,0.9185667752442996,0.914335706131201,40
s4_global_f1_pcd,Spambase,4,10,0.002,0.9185667752442996,0.914335706131201,40
s4_global_f1_pcd,Spambase,4,10,0.005,0.9185667752442996,0.914335706131201,40
s4_global_f1_pcd,Spambase,4,15,0.001,0.9211002533478103,0.9169299936203986,45
s4_global_f1_pcd,Spambase,4,15,0.002,0.9211002533478103,0.9169299936203986,45
s4_global_f1_pcd,Spambase,4,15,0.005,0.9211002533478103,0.9169299936203986,45
s4_global_f1_pcd,Spambase,5,5,0.001,0.9156713716974303,0.911142044182777,40
s4_global_f1_pcd,Spambase,5,5,0.002,0.9156713716974303,0.911142044182777,40
s4_global_f1_pcd,Spambase,5,5,0.005,0.9145855953673543,0.9101594967131582,30
s4_global_f1_pcd,Spambase,5,10,0.001,0.9185667752442996,0.914335706131201,40
s4_global_f1_pcd,Spambase,5,10,0.002,0.9185667752442996,0.914335706131201,40
s4_global_f1_pcd,Spambase,5,10,0.005,0.9185667752442996,0.914335706131201,40
s4_global_f1_pcd,Spambase,5,15,0.001,0.9211002533478103,0.9169299936203986,45
s4_global_f1_pcd,Spambase,5,15,0.002,0.9211002533478103,0.9169299936203986,45
s4_global_f1_pcd,Spambase,5,15,0.005,0.9211002533478103,0.9169299936203986,45
s7_perclient_f1_pcd,Spambase,3,5,0.001,0.9229098805646037,0.9188216993566969,42
s7_perclient_f1_pcd,Spambase,3,5,0.002,0.9229098805646037,0.918792219478782,27
s7_perclient_f1_pcd,Spambase,3,5,0.005,0.9189287006876583,0.9143205498312007,18
s7_perclient_f1_pcd,Spambase,3,10,0.001,0.9229098805646037,0.9188216993566969,42
